date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:56	2624/2624	---M--	200	added ('OK')	image/jpeg	etag:%22a40-5baaa178c56a3%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_9.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_9.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:56	2799/2799	---M--	200	added ('OK')	image/jpeg	etag:%22aef-5baaa17a04bf5%22	https://preview.colorlib.com/theme/abcbook/assets/img/post/post_10.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/post/post_10.jpg	(from https://preview.colorlib.com/theme/abcbook/blog_details.html)
15:41:57	14520/14520	---M--	200	added ('OK')	image/jpeg	etag:%2238b8-5baaa1ab01a0d%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/d.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/d.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:41:58	1879/1879	---M--	200	added ('OK')	image/jpeg	etag:%22757-5baaa1a3fbcbc%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/f1.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/f1.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:41:58	1957/1957	---M--	200	added ('OK')	image/jpeg	etag:%227a5-5baaa1a53b20e%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/f2.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/f2.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:41:58	2423/2423	---M--	200	added ('OK')	image/jpeg	etag:%22977-5baaa1a7bac52%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/f3.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/f3.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:41:59	1559/1559	---M--	200	added ('OK')	image/jpeg	etag:%22617-5baaa1a010e08%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/f4.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/f4.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:41:59	1825/1825	---M--	200	added ('OK')	image/jpeg	etag:%22721-5baaa1a13da7b%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/f5.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/f5.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:42:00	1427/1427	---M--	200	added ('OK')	image/jpeg	etag:%22593-5baaa19ef4b35%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/f6.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/f6.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:42:00	1516/1516	---M--	200	added ('OK')	image/jpeg	etag:%225ec-5baaa19bc15f9%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/f7.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/f7.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:42:00	1343/1343	---M--	200	added ('OK')	image/jpeg	etag:%2253f-5baaa1a97719e%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/f8.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/f8.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:42:01	124531/124531	---M--	200	added ('OK')	image/jpeg	etag:%221e673-5baaa1a2c734a%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/g1.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/g1.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:42:01	116798/116798	---M--	200	added ('OK')	image/jpeg	etag:%221c83e-5baaa1a011da8%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/g2.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/g2.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:42:01	81581/81581	---M--	200	added ('OK')	image/jpeg	etag:%2213ead-5baaa19ce750c%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/g3.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/g3.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:42:02	84926/84926	---M--	200	added ('OK')	image/jpeg	etag:%2214bbe-5baaa1a54002e%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/g4.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/g4.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
15:42:02	64607/64607	---M--	200	added ('OK')	image/jpeg	etag:%22fc5f-5baaa1a2c82ea%22	https://preview.colorlib.com/theme/abcbook/assets/img/elements/g5.jpg	D:/xampp/htdocs/testcrawl1/temp/preview.colorlib.com/theme/abcbook/assets/img/elements/g5.jpg	(from https://preview.colorlib.com/theme/abcbook/elements.html)
